TradeID, Symbol, Timeframe, Session, Weekday, Direction, HTFBias, SweepType, FvgSize, ObQuality, DisplacementScore, ConfluenceScore, ATR, Spread, EntryPrice, SLPrice, TPPrice, ExitPrice, RR, RMultiple, DurationBars, MFE, MAE, ReasonClosed
1, XAUUSD, M5, Asia KZ, Mon, SHORT, Bearish, SMT+RSI, 3.93, 85%, 80%, 85%, 3.93, 0.25, 2324.29, 2330.18, 2312.5, 2312.5, 1:2.0, +2.0R, 15, +2.2R, -0.4R, CLOSED_TP_FULL
2, XAUUSD, M5, NY Silver Bullet, Mon, SHORT, Bearish, SMT+RSI, 2.92, 85%, 80%, 85%, 2.92, 0.25, 2323.97, 2328.35, 2315.21, 2315.21, 1:2.0, +2.0R, 30, +2.2R, -0.4R, CLOSED_TP_FULL
3, XAUUSD, M5, NY Open, Tue, SHORT, Neutral, SMT+RSI, 4.15, 85%, 80%, 85%, 4.15, 0.25, 2328.82, 2335.05, 2316.37, 2316.37, 1:2.0, +2.0R, 20, +2.2R, -0.4R, CLOSED_TP_FULL
4, XAUUSD, M5, London KZ, Tue, SHORT, Bearish, SMT+RSI, 4.3, 85%, 80%, 85%, 4.3, 0.25, 2327.77, 2334.22, 2314.87, 2314.87, 1:2.0, +2.0R, 19, +2.2R, -0.4R, CLOSED_TP_FULL
5, XAUUSD, M5, London KZ, Wed, SHORT, Neutral, SMT+RSI, 2.96, 85%, 80%, 85%, 2.96, 0.25, 2334.55, 2338.99, 2325.67, 2325.67, 1:2.0, +2.0R, 17, +2.2R, -0.4R, CLOSED_TP_FULL
6, XAUUSD, M5, NY Open, Wed, LONG, Bullish, SMT+RSI, 3.53, 85%, 80%, 85%, 3.53, 0.25, 2322.72, 2317.42, 2333.31, 2317.42, 1:2.0, -1.0R, 18, +0.3R, -1.0R, CLOSED_SL
7, XAUUSD, M5, NY Open, Wed, SHORT, Bearish, SMT+RSI, 3.77, 85%, 80%, 85%, 3.77, 0.25, 2321.25, 2326.91, 2309.94, 2326.91, 1:2.0, -1.0R, 22, +0.3R, -1.0R, CLOSED_SL
8, XAUUSD, M5, NY Silver Bullet, Wed, LONG, Bullish, SMT+RSI, 2.91, 85%, 80%, 85%, 2.91, 0.25, 2328.96, 2324.6, 2337.69, 2337.69, 1:2.0, +2.0R, 28, +2.2R, -0.4R, CLOSED_TP_FULL
9, XAUUSD, M5, NY Open, Thu, SHORT, Bearish, SMT+RSI, 3.04, 85%, 80%, 85%, 3.04, 0.25, 2322.42, 2326.98, 2313.3, 2326.98, 1:2.0, -1.0R, 29, +0.3R, -1.0R, CLOSED_SL
10, XAUUSD, M5, Asia KZ, Fri, LONG, Neutral, SMT+RSI, 3.05, 85%, 80%, 85%, 3.05, 0.25, 2326.66, 2322.09, 2335.81, 2326.66, 1:2.0, +0.0R, 7, +1.1R, -0.3R, CLOSED_BE
11, XAUUSD, M5, NY Open, Fri, SHORT, Bearish, SMT+RSI, 3.13, 85%, 80%, 85%, 3.13, 0.25, 2334.31, 2339.01, 2324.92, 2324.92, 1:2.0, +2.0R, 14, +2.2R, -0.4R, CLOSED_TP_FULL
12, XAUUSD, M5, London KZ, Fri, LONG, Bullish, SMT+RSI, 3.69, 85%, 80%, 85%, 3.69, 0.25, 2338.33, 2332.8, 2349.4, 2332.8, 1:2.0, -1.0R, 13, +0.3R, -1.0R, CLOSED_SL
13, XAUUSD, M5, NY Open, Fri, LONG, Neutral, SMT+RSI, 3.88, 85%, 80%, 85%, 3.88, 0.25, 2338.27, 2332.45, 2349.91, 2349.91, 1:2.0, +2.0R, 24, +2.2R, -0.4R, CLOSED_TP_FULL
14, XAUUSD, M5, London KZ, Mon, SHORT, Bearish, SMT+RSI, 3.13, 85%, 80%, 85%, 3.13, 0.25, 2331.65, 2336.35, 2322.26, 2322.26, 1:2.0, +2.0R, 6, +2.2R, -0.4R, CLOSED_TP_FULL
15, XAUUSD, M5, London KZ, Mon, SHORT, Bearish, SMT+RSI, 3.48, 85%, 80%, 85%, 3.48, 0.25, 2322.46, 2327.68, 2312.02, 2312.02, 1:2.0, +2.0R, 8, +2.2R, -0.4R, CLOSED_TP_FULL
16, XAUUSD, M5, NY Open, Mon, LONG, Neutral, SMT+RSI, 3.43, 85%, 80%, 85%, 3.43, 0.25, 2329.54, 2324.39, 2339.83, 2324.39, 1:2.0, -1.0R, 27, +0.3R, -1.0R, CLOSED_SL
17, XAUUSD, M5, NY Open, Tue, LONG, Neutral, SMT+RSI, 3.73, 85%, 80%, 85%, 3.73, 0.25, 2327.67, 2322.08, 2338.86, 2322.08, 1:2.0, -1.0R, 29, +0.3R, -1.0R, CLOSED_SL
18, XAUUSD, M5, NY Silver Bullet, Tue, LONG, Bullish, SMT+RSI, 3.3, 85%, 80%, 85%, 3.3, 0.25, 2321.46, 2316.51, 2331.36, 2331.36, 1:2.0, +2.0R, 16, +2.2R, -0.4R, CLOSED_TP_FULL
19, XAUUSD, M5, NY Open, Tue, LONG, Neutral, SMT+RSI, 4.01, 85%, 80%, 85%, 4.01, 0.25, 2340.61, 2334.6, 2352.64, 2334.6, 1:2.0, -1.0R, 20, +0.3R, -1.0R, CLOSED_SL
20, XAUUSD, M5, London KZ, Wed, SHORT, Bearish, SMT+RSI, 4.11, 85%, 80%, 85%, 4.11, 0.25, 2342.4, 2348.57, 2330.07, 2330.07, 1:2.0, +2.0R, 31, +2.2R, -0.4R, CLOSED_TP_FULL
21, XAUUSD, M5, London KZ, Thu, SHORT, Bearish, SMT+RSI, 3.01, 85%, 80%, 85%, 3.01, 0.25, 2326.36, 2330.88, 2317.33, 2317.33, 1:2.0, +2.0R, 20, +2.2R, -0.4R, CLOSED_TP_FULL
22, XAUUSD, M5, London KZ, Fri, SHORT, Neutral, SMT+RSI, 2.81, 85%, 80%, 85%, 2.81, 0.25, 2331.4, 2335.62, 2322.97, 2331.4, 1:2.0, +0.0R, 23, +1.1R, -0.3R, CLOSED_BE
23, XAUUSD, M5, NY Open, Mon, LONG, Neutral, SMT+RSI, 4.36, 85%, 80%, 85%, 4.36, 0.25, 2338.72, 2332.18, 2351.8, 2332.18, 1:2.0, -1.0R, 12, +0.3R, -1.0R, CLOSED_SL
24, XAUUSD, M5, London KZ, Mon, LONG, Bullish, SMT+RSI, 4.4, 85%, 80%, 85%, 4.4, 0.25, 2338.94, 2332.34, 2352.14, 2338.94, 1:2.0, +0.0R, 34, +1.1R, -0.3R, CLOSED_BE
25, XAUUSD, M5, London KZ, Tue, LONG, Bullish, SMT+RSI, 3.62, 85%, 80%, 85%, 3.62, 0.25, 2324.88, 2319.45, 2335.74, 2335.74, 1:2.0, +2.0R, 7, +2.2R, -0.4R, CLOSED_TP_FULL
26, XAUUSD, M5, Asia KZ, Wed, SHORT, Bearish, SMT+RSI, 3.99, 85%, 80%, 85%, 3.99, 0.25, 2324.61, 2330.6, 2312.64, 2330.6, 1:2.0, -1.0R, 7, +0.3R, -1.0R, CLOSED_SL
27, XAUUSD, M5, London KZ, Thu, LONG, Bullish, SMT+RSI, 3.46, 85%, 80%, 85%, 3.46, 0.25, 2335.2, 2330.01, 2345.58, 2345.58, 1:2.0, +2.0R, 33, +2.2R, -0.4R, CLOSED_TP_FULL
28, XAUUSD, M5, NY Open, Thu, SHORT, Bearish, SMT+RSI, 3.21, 85%, 80%, 85%, 3.21, 0.25, 2333.22, 2338.03, 2323.59, 2323.59, 1:2.0, +2.0R, 13, +2.2R, -0.4R, CLOSED_TP_FULL
29, XAUUSD, M5, London KZ, Thu, LONG, Bullish, SMT+RSI, 3.63, 85%, 80%, 85%, 3.63, 0.25, 2328.47, 2323.02, 2339.36, 2339.36, 1:2.0, +2.0R, 6, +2.2R, -0.4R, CLOSED_TP_FULL
30, XAUUSD, M5, London KZ, Fri, LONG, Neutral, SMT+RSI, 3.69, 85%, 80%, 85%, 3.69, 0.25, 2326.26, 2320.73, 2337.33, 2320.73, 1:2.0, -1.0R, 10, +0.3R, -1.0R, CLOSED_SL
31, XAUUSD, M5, NY Silver Bullet, Fri, SHORT, Bearish, SMT+RSI, 4.33, 85%, 80%, 85%, 4.33, 0.25, 2334.09, 2340.59, 2321.1, 2340.59, 1:2.0, -1.0R, 14, +0.3R, -1.0R, CLOSED_SL
32, XAUUSD, M5, NY Open, Mon, SHORT, Neutral, SMT+RSI, 3.92, 85%, 80%, 85%, 3.92, 0.25, 2333.66, 2339.54, 2321.9, 2339.54, 1:2.0, -1.0R, 7, +0.3R, -1.0R, CLOSED_SL
33, XAUUSD, M5, London KZ, Tue, LONG, Neutral, SMT+RSI, 3.45, 85%, 80%, 85%, 3.45, 0.25, 2337.32, 2332.14, 2347.67, 2347.67, 1:2.0, +2.0R, 9, +2.2R, -0.4R, CLOSED_TP_FULL
34, XAUUSD, M5, London KZ, Tue, SHORT, Neutral, SMT+RSI, 4.45, 85%, 80%, 85%, 4.45, 0.25, 2343.64, 2350.32, 2330.29, 2350.32, 1:2.0, -1.0R, 15, +0.3R, -1.0R, CLOSED_SL
35, XAUUSD, M5, London KZ, Tue, LONG, Bullish, SMT+RSI, 3.63, 85%, 80%, 85%, 3.63, 0.25, 2348.78, 2343.34, 2359.67, 2359.67, 1:2.0, +2.0R, 33, +2.2R, -0.4R, CLOSED_TP_FULL
36, XAUUSD, M5, London KZ, Tue, LONG, Bullish, SMT+RSI, 2.82, 85%, 80%, 85%, 2.82, 0.25, 2344.55, 2340.32, 2353.01, 2353.01, 1:2.0, +2.0R, 26, +2.2R, -0.4R, CLOSED_TP_FULL
37, XAUUSD, M5, London KZ, Wed, SHORT, Neutral, SMT+RSI, 3.03, 85%, 80%, 85%, 3.03, 0.25, 2339.21, 2343.76, 2330.12, 2330.12, 1:2.0, +2.0R, 9, +2.2R, -0.4R, CLOSED_TP_FULL
38, XAUUSD, M5, NY Open, Wed, LONG, Bullish, SMT+RSI, 3.57, 85%, 80%, 85%, 3.57, 0.25, 2347.19, 2341.84, 2357.9, 2341.84, 1:2.0, -1.0R, 11, +0.3R, -1.0R, CLOSED_SL
39, XAUUSD, M5, NY Open, Wed, LONG, Bullish, SMT+RSI, 4.25, 85%, 80%, 85%, 4.25, 0.25, 2346.2, 2339.82, 2358.95, 2358.95, 1:2.0, +2.0R, 19, +2.2R, -0.4R, CLOSED_TP_FULL
40, XAUUSD, M5, Asia KZ, Thu, LONG, Neutral, SMT+RSI, 4.22, 85%, 80%, 85%, 4.22, 0.25, 2334.93, 2328.6, 2347.59, 2347.59, 1:2.0, +2.0R, 32, +2.2R, -0.4R, CLOSED_TP_FULL
