TradeID, Symbol, Timeframe, Session, Weekday, Direction, HTFBias, SweepType, FvgSize, ObQuality, DisplacementScore, ConfluenceScore, ATR, Spread, EntryPrice, SLPrice, TPPrice, ExitPrice, RR, RMultiple, DurationBars, MFE, MAE, ReasonClosed
1, XAUUSD, M5, London KZ, Mon, SHORT, Neutral, BSL Sweep, 2.27, 73%, 92%, 75%, 2.7, 0.25, 2317.66, 2322.81, 2297.06, 2297.06, 1:4.0, +4.0R, 42, +4.3R, -0.3R, CLOSED_TP3_FINAL
2, XAUUSD, M5, NY Open, Mon, SHORT, Bearish, BSL Sweep, 1.82, 95%, 80%, 95%, 4.11, 0.25, 2315.1, 2320.88, 2303.54, 2320.88, 1:-1.0, -1.0R, 13, +0.3R, -1.0R, CLOSED_SL
3, XAUUSD, M5, NY Open, Mon, SHORT, Bearish, BSL Sweep, 4.54, 93%, 89%, 95%, 3.73, 0.25, 2333.79, 2340.68, 2306.23, 2306.23, 1:4.0, +4.0R, 44, +4.3R, -0.4R, CLOSED_TP3_FINAL
4, XAUUSD, M5, London KZ, Tue, LONG, Bullish, SSL Sweep, 5.15, 77%, 78%, 95%, 3.37, 0.25, 2317.07, 2307.9, 2349.16, 2349.16, 1:3.5, +3.5R, 12, +3.7R, -0.2R, CLOSED_TP2
5, XAUUSD, M5, London KZ, Tue, LONG, Neutral, SSL Sweep, 3.09, 90%, 92%, 75%, 3.01, 0.25, 2313.93, 2305.09, 2331.61, 2331.61, 1:2.0, +2.0R, 12, +2.4R, -0.2R, CLOSED_TP1
6, XAUUSD, M5, London KZ, Wed, LONG, Bullish, SSL Sweep, 3.63, 93%, 93%, 95%, 3.49, 0.25, 2320.66, 2313.85, 2334.28, 2313.85, 1:-1.0, -1.0R, 39, +0.2R, -1.0R, CLOSED_SL
7, XAUUSD, M5, London KZ, Wed, LONG, Neutral, SSL Sweep, 2.34, 91%, 88%, 75%, 3.87, 0.25, 2313.11, 2305.13, 2341.04, 2341.04, 1:3.5, +3.5R, 8, +4.0R, -0.4R, CLOSED_TP2
8, XAUUSD, M5, London KZ, Wed, SHORT, Bearish, BSL Sweep, 2.96, 79%, 88%, 95%, 2.86, 0.25, 2302.72, 2311.33, 2268.28, 2268.28, 1:4.0, +4.0R, 14, +4.4R, -0.3R, CLOSED_TP3_FINAL
9, XAUUSD, M5, London KZ, Wed, LONG, Neutral, SSL Sweep, 4.39, 87%, 91%, 75%, 4.61, 0.25, 2322.51, 2315.07, 2348.55, 2348.55, 1:3.5, +3.5R, 27, +4.0R, -0.3R, CLOSED_TP2
10, XAUUSD, M5, NY Silver Bullet, Thu, LONG, Neutral, SSL Sweep, 3.45, 72%, 92%, 75%, 4.26, 0.25, 2307.47, 2300.09, 2333.3, 2333.3, 1:3.5, +3.5R, 21, +3.8R, -0.3R, CLOSED_TP2
